sampling_method,model,summary,HARS,NoSampling,Balance,[14]
RandomUnderSampler,svmlinear,std,0.215468886290687,0.281211587761494,0.239536591226481,
RandomUnderSampler,svmrbf,mean,0.41851002141787,0.24431184167214,0.439287477967439,
RandomUnderSampler,svmrbf,median,0.473978461813598,0.0630127173160914,0.513889972917282,
RandomUnderSampler,svmrbf,std,0.223984188168746,0.281559743352674,0.231882441280415,
RandomUnderSampler,lr,mean,0.464431357818683,0.35319893005705,0.443867290533061,
RandomUnderSampler,lr,median,0.540014014803635,0.368490537821425,0.519905953666084,
RandomUnderSampler,lr,std,0.205649881662312,0.254894091989131,0.240659899375868,
SMOTEENN,all_models,mean,0.461817290650368,0.371389212437804,0.485852597853161,
SMOTEENN,all_models,median,0.51008562069326,0.395664136951979,0.538711285748525,
SMOTEENN,all_models,std,0.205137683838214,0.272200590344833,0.199245830431844,
SMOTE,all_models,mean,0.454268211666149,0.371389212437804,0.486063527746323,0.490028577708601
SMOTE,all_models,median,0.507095066931797,0.395664136951979,0.539704400393015,0.537669037486648
SMOTE,all_models,std,0.23304792391953,0.272200590344833,0.2159119312619,0.210469965415505
ADASYN,all_models,mean,0.458878317985712,0.371389212437804,0.483939609399058,0.489211733009242
ADASYN,all_models,median,0.529837061408177,0.395664136951979,0.538957319947197,0.535218397319649
ADASYN,all_models,std,0.238226990485457,0.272200590344833,0.215768182919833,0.212772109114612
RandomOverSampler,all_models,mean,0.44345479094245,0.371389212437804,0.480182296409817,0.482853993953113
RandomOverSampler,all_models,median,0.503111960536519,0.395664136951979,0.542558494771803,0.539562064097732
RandomOverSampler,all_models,std,0.238409888438881,0.272200590344833,0.225162013270814,0.22141574382281
SMOTETomek,all_models,mean,0.452923391286124,0.371389212437804,0.487516335406588,
SMOTETomek,all_models,median,0.516271175984915,0.395664136951979,0.541101304957885,
SMOTETomek,all_models,std,0.232116908764031,0.272200590344833,0.215237013028062,
ClusterCentroids,all_models,mean,0.451358056040019,0.371389212437804,0.42241180710887,
ClusterCentroids,all_models,median,0.498442500069426,0.395664136951979,0.477120515042115,
ClusterCentroids,all_models,std,0.218295762313061,0.272200590344833,0.22320261025065,
RandomUnderSampler,all_models,mean,0.456857185666474,0.371389212437804,0.43738366946944,
RandomUnderSampler,all_models,median,0.51004467609351,0.395664136951979,0.521110167460143,
RandomUnderSampler,all_models,std,0.219042049950693,0.272200590344833,0.232471457035901,
